,Education,Never went to school or completed primary school,Completed primary education,Completed Junior Certificate,Completed Leaving Certficicate,Completed Third Level Education,Not known,
2008,Westmeath,11,57,73,54,15,45,255
2008,Wicklow,5,28,85,51,15,78,262
2008,Wexford,14,103,172,132,27,101,549
2008,Outside Ireland,~,6,16,9,22,12,66
2008,Address unknown Ireland,0,12,12,~,0,60,87
2008,Totals,527,2977,4964,2869,934,2988,15259
2009,Cork,21,251,550,423,108,346,1699
2009,Clare,~,22,67,52,13,24,182
2009,Cavan,~,27,44,29,14,67,183
2009,Carlow,~,43,96,64,16,51,274
2009,Dublin,320,1465,1833,767,258,788,5431
2009,Donegal,21,183,189,133,74,130,730
2009,Galway,12,100,138,149,56,107,562
2009,Kilkenny,6,32,110,107,15,57,327
2009,Kildare,13,77,157,137,35,63,482
2009,Kerry,6,61,132,128,42,36,405
2009,Limerick,38,136,199,98,51,61,583
2009,Longford,8,24,39,44,9,13,137
2009,Louth,17,51,111,90,29,105,403
2009,Leitrim,~,~,8,12,5,67,97
2009,Laois,8,18,44,25,~,20,117
2009,Meath,8,58,148,108,43,96,461
2009,Monaghan,0,17,28,16,5,~,69
2009,Mayo,~,34,62,63,30,45,236
2009,Offaly,7,28,47,34,11,5,132
2009,Roscommon,5,18,46,33,12,16,130
2009,Sligo,~,40,82,62,19,95,301
2009,Tipperary,14,118,268,173,40,86,699
2009,Waterford,9,80,216,268,50,238,861
2009,Westmeath,16,74,108,82,25,61,366
2009,Wicklow,11,55,85,65,25,62,303
2009,Wexford,23,143,226,203,31,121,747
2009,Outside Ireland,~,6,8,12,12,6,48
2009,Address unknown Ireland,~,16,26,8,5,11,70
2009,Totals,587,3181,5067,3385,1035,2780,16035
2010,Cork,52,287,711,516,108,556,2230
2010,Clare,~,33,48,75,15,41,214
2010,Cavan,~,28,41,30,8,74,185
2010,Carlow,6,65,132,93,18,38,352
2010,Dublin,281,1287,1607,922,254,753,5104
2010,Donegal,8,176,178,143,80,241,826
2010,Galway,14,119,178,152,49,121,633
2010,Kilkenny,6,39,127,89,15,39,315
2010,Kildare,9,64,149,175,35,139,571
2010,Kerry,17,110,207,197,46,128,705
2010,Limerick,21,146,203,132,41,137,680
2010,Longford,~,23,43,43,11,15,137
2010,Louth,13,58,93,63,13,64,304
2010,Leitrim,0,5,12,10,5,60,92
2010,Laois,6,31,58,50,12,9,166
2010,Meath,7,43,88,69,19,68,294
2010,Monaghan,~,11,15,22,~,23,75
2010,Mayo,~,25,56,49,21,33,188
2010,Offaly,11,28,65,37,10,12,163
2010,Roscommon,5,20,34,37,9,14,119
2010,Sligo,7,34,92,55,24,95,307
2010,Tipperary,19,134,288,182,41,93,757
2010,Waterford,7,142,295,305,46,110,905
2010,Westmeath,12,64,95,77,22,59,329
2010,Wicklow,10,41,84,80,25,55,295
2010,Wexford,16,125,245,222,38,94,740
2010,Outside Ireland,~,~,9,13,17,~,49
2010,Address unknown Ireland,7,26,32,19,~,17,104
2010,Totals,549,3168,5185,3857,988,3092,16839
